"comune","provincia","denominazione","tipologia funzionale","denominazione ente","OBR","Sistema bibliotecario","indirizzo","frazione","cap","latitudine","longitudine","telefono","fax","email","url"
"Roma","Roma","Biblioteca dell'Istituto Superiore per la Protezione e la Ricerca Ambientale - ISPRA","Specializzata","Agenzia per la protezione dell'ambiente e per i servizi tecnici - APAT",,,"Via Brancati 60",,"00144","41.8160185","12.4684626","+39 0650074002","+39 0650072961","biblioteca@isprambiente.it","http://www.biblioteca.isprambiente.it"
"Roma","Roma","Biblioteca del Senato della Repubblica Giovanni Spadolini","Specializzata","Senato della Repubblica",,,"Piazza della Minerva 38",,"00186","41.8981757","12.4775378","+39 0667063717","+39 0667063939","bibliotecaminerva@senato.it","http://www.senato.it/biblioteca"
"Roma","Roma","Biblioteca del Quirinale","Specializzata","Presidenza della Repubblica. Segretariato generale",,,"Piazza del Quirinale",,"00187","41.89933","12.487094","+39 0646991",,,
"Roma","Roma","Biblioteca dell'Istituto affari internazionali","Specializzata","Istituto affari internazionali",,,"Via A. Brunetti 9",,"00186","41.9091417","12.4766743","+39 063224360","+39 063224363","iai_library@iai.it","http://www.iai.it/biblio.htm"
"Roma","Roma","Biblioteca ALENIA MARCONI SYSTEMS S.p.A.","Specializzata","ALENIA MARCONI SYSTEMS S.p.A.",,,"Via Tiburtina Km 12,400",,"00131","41.897","12.511949","+39 0641502658","+39 064131133",,"http://www.aleniamarconisystems.com"
"Roma","Roma","Biblioteca ENI","Specializzata","ENI S.p.A.",,,"Piazzale E. Mattei 11",,"00144","41.893825","12.477398","+39 0659822050","+39 0659825988",,
"Roma","Roma","Biblioteca dell'Ente nazionale democratico di azione sociale","Pubblica","Ente nazionale democratico di azione sociale",,,"Via Merulana 48",,"00185","41.8944099","12.5005963","+39 064875069","+39 064875067",,
"Roma","Roma","Biblioteca dell'Avvocatura generale dello Stato","Specializzata","Avvocatura generale dello Stato",,,"Via dei Portoghesi 12",,"00186","41.901687","12.4747623","+39 066829436","+39 0668897641",,
"Roma","Roma","Biblioteca della Direzione centrale studi e documentazione dell'Automobile club d'Italia - ACI","Specializzata","Automobile club d'Italia - ACI. Direzione centrale studi e documentazione",,,"Via Marsala 8",,"00185","41.9030698","12.5013716","+39 0649982314","+39 0649982234",,
"Roma","Roma","Biblioteca dell'Associazione per lo sviluppo dell'industria nel mezzogiorno","Specializzata","Associazione per lo sviluppo dell'industria nel mezzogiorno",,,"Via di Porta Pinciana 6",,"00187","41.9071824","12.4861663","+39 064870596","+39 064870602",,
"Roma","Roma","Biblioteca della Croce rossa italiana","Specializzata","Associazione italiana della Croce rossa",,,"Via Toscana 12",,"00187","41.9085877","12.4916733","+39 0647591","+39 064870542",,
"Roma","Roma","Biblioteca dell'Associazione italiana di aeronautica e astronautica","Specializzata","Associazione italiana di aeronautica e astronautica",,,"Via Po 50",,"00198","41.9158288","12.4968908","+39 068845894",,,
"Roma","Roma","Biblioteca dell'Associazione fra le società italiane per azioni","Specializzata","Associazione fra le società italiane per azioni",,,"Piazza Venezia 11",,"00187","41.900094","12.492909","+39 066784413","+39 066790487",,
"Roma","Roma","Biblioteca Centro ELIS","Pubblica","Associazione Centro Educazione Lavoro Istruzione Sport",,,"Via S. Sandri 71",,"00159","41.9039814","12.5488139","+39 064393371","+39 064382598","biblioteca@elis.org","http://biblioteca.elis.org/"
"Roma","Roma","Biblioteca dell'Associazione bancaria italiana","Specializzata","Associazione bancaria italiana",,,"Piazza del Gesù 49",,"00186","41.8959251","12.4788697","+39 066767343","+39 066767457",,
"Roma","Roma","Biblioteca dell'Archivio di Stato di Roma","Specializzata","Ministero dei beni e delle attività culturali e del turismo. Archivio di Stato di Roma",,,"Corso Rinascimento 40",,"00186","41.8979722","12.473991","+39 0668190835","+39 0668190871","serena.dainotto@beniculturali.it","http://www.archiviodistatoroma.beniculturali.it/index.php?it/95/biblioteca"
"Roma","Roma","Biblioteca dell'Archivio centrale dello Stato","Specializzata","Ministero dei beni e delle attività culturali e del turismo. Archivio centrale dello Stato",,,"Piazzale degli Archivi 27",,"00144","41.8286582","12.4755393","+39 06 54548491","+39 065413620","acs@beniculturali.it","www.acs.beniculturali.it"
"Roma","Roma","Biblioteca dell'Istituto di psicologia del Consiglio nazionale delle ricerche","Specializzata","Consiglio nazionale delle ricerche. Istituto di psicologia",,,"Viale K. Marx 15",,"00137","41.9357428","12.5547469","+39 0686890201","+39 06824737","welin@ip.rm.cnr.it","http://www.ip.rm.cnr.it"
"Roma","Roma","Biblioteca del Consiglio regionale della Regione Lazio","Specializzata","Regione Lazio. Consiglio regionale",,,"Via della Pisana 1301",,"00163","41.844241","12.3542198","+39 0665932529",,"lzaccaria@regione.lazio.it",
"Roma","Roma","Biblioteca del Convento Immacolata Concezione","Specializzata","Frati minori cappuccini. Convento Immacolata Concezione di Roma",,,"Via Piemonte 70",,"00187","41.9082484","12.4935419","+39 064740643",,,
"Roma","Roma","Biblioteca del Laboratorio centrale di idrobiologia del Ministero delle politiche agricole e forestali","Specializzata","Ministero delle politiche agricole e forestali. Laboratorio centrale di idrobiologia",,,"Via del Caravaggio 107",,"00147","41.851607","12.497172","+39 065140296",,,
"Roma","Roma","Biblioteca dell'Istituto nazionale per la grafica","Specializzata","Ministero dei beni e delle attività culturali e del turismo. Istituto nazionale per la grafica",,,"Via della Stamperia n. 6",,"00187","41.9016076","12.4834594","+39 0669980278","+39 0668806565","in-g.biblioteca @beniculturali. it",
"Roma","Roma","Biblioteca dell'Istituto di fisica dell'atmosfera del Consiglio nazionale delle ricerche","Specializzata","Consiglio nazionale delle ricerche. Istituto di fisica dell'atmosfera",,,"Piazzale L. Sturzo 31",,"00144","41.834226","12.4673475","+39 065910941","+39 065915790",,
"Roma","Roma","Biblioteca del Dipartimento di anatomia umana dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di anatomia umana",,,"Via A. Borelli 50",,"00161","41.9066543","12.5161354","+39 0649918049","+39 064452349","biblioteca.anatomia@uniroma1.it","http://www.anatomia.med.uniroma1.it/biblioteca/biblioteca.html"
"Roma","Roma","Biblioteca dell'Istituto di acustica Orso Maria Corbino del Consiglio nazionale delle ricerche","Specializzata","Consiglio nazionale delle ricerche. Istituto di acustica Orso Maria Corbino",,,"Via Cassia 1216",,"00189","41.9696411","12.4364903","+39 0630365765","+39 0630365341",,
"Roma","Roma","Biblioteca dell'Istituto della enciclopedia italiana Giovanni Treccani","Specializzata","Istituto della enciclopedia italiana",,,"Piazza della Enciclopedia italiana 4",,"00186","41.8944052","12.4774284","+39 0668982248","+39 0668982186","treccani.biblio@treccani.it","http://www.treccani.it/site/www/biblioteca/biblioteca_storia.htm"
"Roma","Roma","Biblioteca del Museo storico della liberazione di Roma","Specializzata","Museo storico della liberazione di Roma",,,"Via T. Tasso 145",,"00185","41.8895603","12.5060126","+39 0677203514","+39 067003866",,
"Roma","Roma","Biblioteca del Museo nazionale delle arti e tradizioni popolari","Specializzata","Ministero dei beni e delle attività culturali e del turismo. Museo nazionale delle arti e tradizioni popolari",,,"Piazza G. Marconi 8",,"00144","41.8332478","12.4717397","+39 065910709","+39 065911848","popolari@arti.beniculturali.it","http://www.popolari.arti.beniculturali.it"
"Roma","Roma","Biblioteca del Museo storico dell'arma dei carabinieri","Specializzata","Museo storico dell'arma dei carabinieri",,,"Piazza del Risorgimento 46",,"00192","41.9056821","12.4588068","+39 066896696","+39 066896696",,"http://www.carabinieri.it"
"Roma","Roma","Biblioteca della Soprintendenza speciale al Museo nazionale preistorico etnografico Luigi Pigorini","Specializzata","Ministero dei beni e delle attività culturali e del turismo. Soprintendenza speciale al Museo preistorico ed etnografico Luigi Pigorini",,,"Piazzale G. Marconi 14",,"00144","41.8333164","12.4714134","+39 0654952246","+39 0654952310",,
"Roma","Roma","Biblioteca del Monastero S. Gregorio al Celio","Specializzata","Benedettini camaldolesi OSB. Monastero S. Gregorio al Celio",,,"Piazza di San Gregorio",,"00184","41.886007","12.4903023","+39 067008227","+39 067009357","igargano@tin.it",
"Roma","Roma","Biblioteca del Ministero della salute","Specializzata","Ministero della salute",,,"Via Giorgio Ribotta 5",,"00144","41.8187275","12.4566995","+39 0659942327","+39 0659942251",,
"Roma","Roma","Biblioteca centrale ed emeroteca del Ministero dell'istruzione, dell'università e della ricerca","Specializzata","Ministero dell'istruzione, dell'università e della ricerca. Direzione generale e del personale e affari generali e amministrativi",,,"Viale di Trastevere 76/A",,"00153","41.8857596","12.471215","+39 0658492771","+39 0658493561",,
"Roma","Roma","Biblioteca Ministero delle infrastrutture e dei trasporti - Settore trasporto marittimo","Specializzata","Ministero delle infrastrutture e dei trasporti. Direzione generale affari generali e del personale",,,"Viale dell'arte 16",,"00144","41.8314379","12.4753531","+39 0659084451",,"biblioteca.arte@infrastrutturetrasporti.it",
"Roma","Roma","Biblioteca del Ministero dell'interno","Specializzata","Ministero dell'interno",,,"Palazzo del Viminale",,"00184","null","null","+39 0646525703","+39 0646536689",,
"Roma","Roma","Biblioteca del Ministero delle attività produttive","Specializzata","Ministero delle attività produttive",,,"Via Molise 2",,"00187","41.9053397","12.4892042","+39 0647052619","+39 0647052153",,
"Roma","Roma","Biblioteca del Ministero del lavoro e delle politiche sociali","Specializzata","Ministero del lavoro e delle politiche sociali",,,"Via Flavia 6",,"00187","41.9061034","12.4957077","+39 0646832991","+39 064880890",,
"Roma","Roma","Biblioteca del Ministero dello Sviluppo Economico -  Commercio internazionale","Specializzata","Ministero dello Sviluppo Economico",,,"Viale Boston, 25",,"00144","41.8302166","12.4666185","+39 0659932173","+39 0659932158","biblioteca@sviluppoeconomico.gov.it","http://sviluppoeconomico.sebina.it/SebinaOpac/Opac"
"Roma","Roma","Biblioteca del Dipartimento per le politiche di sviluppo e di coesione del Ministero dello sviluppo economico","Specializzata","Ministero dello Sviluppo Economico",,,"Via Sicilia 162",,"00187","41.9093973","12.4942716","+39 0647619756","+39 0647619791","biblioteca.dps@tesoro.it","http://www.dps.mef.gov.it/studi_biblioteca.asp"
"Roma","Roma","Biblioteca centrale delle Ferrovie dello Stato","Specializzata","Ferrovie dello Stato SpA",,,"Piazza della Croce Rossa 1",,"00161","41.9083015","12.5040351","+39 0644102317","+39 0644102436","rotaie@tin.it",
"Roma","Roma","Biblioteca del Ministero degli affari esteri","Specializzata","Ministero degli affari esteri",,,"Piazza della Farnesina 1",,"00194","41.937875","12.465798","+39 0636913279","+39 0636913293","biblioteca.mae@esteri.it","http://www.esteri.it"
"Roma","Roma","Biblioteca del Consiglio dell'ordine degli avvocati e procuratori di Roma","Specializzata","Consiglio dell'ordine degli avvocati e procuratori di Roma",,,"Piazza Cavour",,"00193","41.9049767","12.4697336","+39 066875296","+39 066864837",,
"Roma","Roma","Biblioteca di artiglieria e genio","Specializzata","Ministero della difesa. Stato maggiore dell'esercito",,,"Via S. Marco 8",,"00186","41.8950585","12.4806213","+39 0647358557",,,
"Roma","Roma","Biblioteca storica del Ministero dell'economia e delle finanze","Specializzata","Ministero dell'economia e delle finanze",,,"Via XX settembre 97",,"00187","41.90647","12.497648","+39 0647613120","+39 0647614779","biblioteca.storica@tesoro.it","http://www.dag.mef.gov.it/le_persone/cittadini/biblioteca_storica_presentazione"
"Roma","Roma","Biblioteca dei magistrati","Specializzata","Corte suprema di cassazione",,,"Piazza Cavour",,"00193","41.9049767","12.4697336","+39 0668832436",,,
"Roma","Roma","Biblioteca della Organon Italia","Specializzata","Organon Italia SpA",,,"Via Ostilia 15",,"00184","41.8889043","12.4951258","+39 06701921","+39 067005866",,
"Roma","Roma","Biblioteca del Monastero S. Prassede","Specializzata","Benedettini vallombrosani. Monastero S. Prassede di Roma",,,"Via S. Prassede 9/a",,"00184","41.8964229","12.4988832","+39 064882456",,,
"Roma","Roma","Archivio biblioteca centrale dell'Unione donne italiane","Specializzata","Unione donne italiane",,,"Via Arco di Parma 15",,"00186","41.9013571","12.4705441","+39 066865884",,,
"Roma","Roma","Biblioteca Guido e Maria Calogero del Corso di laurea in servizio sociale - CLaSS della Facoltà di lettere e filosofia dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Facoltà di lettere e filosofia. Corso di laurea in servizio sociale - CLaSS",,,"Piazza Cavalieri di Malta 2",,"00153","41.8830824","12.4786782","+39 065743455","+39 065740411","class.biblioteca@uniroma1.it","http://w3.uniroma1.it/class/biblioteca/Biblioteca.htm"
"Roma","Roma","Biblioteca del Centro di documentazione economica per giornalisti","Specializzata","Centro di documentazione economica per giornalisti",,,"Via Cicerone 28",,"00193","41.9064044","12.4690613","+39 063226541","+39 063226542",,
"Roma","Roma","Biblioteca del Centro studi investimenti sociali","Specializzata","Fondazione Centro studi investimenti sociali",,,"Piazza di Novella 2",,"00199","41.9292532","12.5122224","+39 06860911","+39 0686211367",,
"Roma","Roma","Biblioteca dell'Associazione centro studi Donna Woman Femme","Specializzata","Associazione centro studi Donna Woman Femme",,,"Via dei Fienaroli 32",,"00153","41.8886645","12.4718805","+39 065880577",,,
"Roma","Roma","Biblioteca centrale Guglielmo Marconi del Consiglio nazionale delle ricerche","Specializzata","Consiglio nazionale delle ricerche - CNR",,,"Piazzale A. Moro 7",,"00185","41.9018309","12.511819","+39 0649933221","+39 0649933858","biblioce@bice.rm.cnr.it","http://www.bice.rm.cnr.it"
"Roma","Roma","Biblioteca del Consiglio nazionale dell'economia e del lavoro","Specializzata","Consiglio nazionale dell'economia e del lavoro",,,"Via di Villa Ruffo 6",,"00196","41.9129399","12.4767306","+39 0636921","+39 063692208","biblioteca@cnel.it","http://www.cnel.it"
"Roma","Roma","Biblioteca del Consiglio di Stato","Specializzata","Consiglio di Stato",,,"Piazza Capo di Ferro 13",,"00186","41.8942644","12.4719655","+39 066827522","+39 066827320","magistrati.cds@flashnet.it","http://www.giustizia-amministrativa.it/documentazione/biblio.htm"
"Roma","Roma","Biblioteca del Collegio rabbinico italiano","NON SPECIFICATA","Collegio rabbinico italiano",,,"Lungotevere Sanzio 14",,"00153","41.8908895","12.471905",,,,
"Roma","Roma","Biblioteca del Collegio leoniano della Missione","Specializzata","Preti della Missione. Lazzaristi.",,,"Via Pompeo Magno 21",,"00192","41.9099587","12.4667595","+39 063221047",,,
"Roma","Roma","Biblioteca del Collegio internazionale S. Antonio Maria Zaccaria","Specializzata","Barnabiti. Collegio internazionale S. Antonio Zaccaria",,,"Via P. Roselli 6",,"00153","41.885304","12.4621893","+39 065816433",,,
"Roma","Roma","Biblioteca Mater Dei","Importante non specializzata","Ordine dei Chierici Regolari della Madre di Dio",,,"Piazza S. Maria in Campitelli, 9",,"00186","41.8933305","12.4793461","+39 06.68803978",,,"http://www.omdei.org"
"Roma","Roma","Biblioteca del Collegio  S. Clemente","Specializzata","Domenicani irlandesi. Collegio S. Clemente",,,"Via Labicana 95",,"00184","41.8898848","12.4973463","+39 067315723",,,
"Roma","Roma","Biblioteca del Collegio degli ingegneri ferroviari italiani","Specializzata","Collegio degli ingegneri ferroviari italiani",,,"Via Giolitti 34",,"00185","41.8987625","12.5032363","+39 064827116","+39 064742987",,
"Roma","Roma","Biblioteca del Circolo speleologico romano","Specializzata","Circolo speleologico romano",,,"Via Ulisse Aldrovandi 18",,"00197","41.9194915","12.48838","+39 063216223",,,
"San Vito Romano","Roma","Biblioteca comunale","Pubblica","Comune di San Vito Romano",,,"Piazza Roma",,"00030","41.8819974","12.979254","+39 0695471818",,,
"Sant'Oreste","Roma","Biblioteca comunale - Centro documentazione Don Mariano De Carolis","Pubblica","Comune di Sant'Oreste","OBR",,"Piazza Cavalieri Caccia 12",,"00060","42.234546","12.519164","+39 0761578437","+39 0761578443","santorestebib@jumpy.it",
"Santa Marinella","Roma","Biblioteca comunale Alessandro Capotosti","Pubblica","Comune di Santa Marinella","OBR","Sistema bibliotecario Ceretano-Sabatino","Via Aurelia angolo Via Libertà",,"00058","42.0584662","11.900579","+39 0766537943",,"crperini@tiscalinet.it",
"Segni","Roma","Biblioteca comunale","Pubblica","Comune di Segni","OBR","Sistema bibliotecario dei Monti lepini","Via della Pretura 1",,"00037","41.6924807","13.0225611","+39 0697262235","+39 069768106","biblioteca@comune.segni.rm.it",
"Subiaco","Roma","Biblioteca statale del Monumento nazionale di S. Scolastica","Specializzata","Ministero dei beni e delle attività culturali e del turismo. Monumento nazionale S. Scolastica",,,"Via dei Monasteri 22",,"00028","41.9244778","13.1053018","+39 077485424","+39 0774810315","bmn-sns@beniculturali.it","http://www.scolastica.librari.beniculturali.it/"
"Subiaco","Roma","Biblioteca diocesana Pio VI","Specializzata","Abbazia Territoriale di Subiaco",,,"Via del Monastero",,"00028","41.926021","13.10264","+39 0774.85424","+39 0774.810315","checchi.tiziana@gmail.com","http://www.scolastica.librari.beniculturali.it"
"Subiaco","Roma","Biblioteca comunale","Pubblica","Comune di Subiaco","OBR",,"Via della Repubblica 26",,"00028","41.9265807","13.0909485","+39 0774822800","+39 0774822810",,
"Tivoli","Roma","Biblioteca comunale Maria Coccanari Fornari","Importante non specializzata","Comune di Tivoli","OBR",,"Piazza del Tempio d'Ercole 1",,"00019","41.9635938","12.7996696","+39 0774334117","+39 0774334117","biblioteca@comune.tivoli.rm.it",
"Tolfa","Roma","Biblioteca comunale","Pubblica","Comune di Tolfa",,,"Piazza Vittorio Veneto 12",,"00059","42.1495677","11.9377978","+39 076692058",,,
"Torrita Tiberina","Roma","Biblioteca comunale","Pubblica","Comune di Torrita Tiberina",,,"Largo 16 marzo 1978",,"00060","42.2368825","12.6177624","+39 076530116","+39 076530236",,
"Velletri","Roma","Biblioteca diocesana","Specializzata","Diocesi di Velletri-Segni",,,"Corso della Repubblica, 347",,"00049","41.6591531","12.7824777","+39 06.9628838","+39 06.9628838","biblioteca@museodiocesanovelletri.it","http://www.museodiocesanovelletri.it"
"Velletri","Roma","Biblioteca comunale","Importante non specializzata","Comune di Velletri",,,"Via del Comune 34",,"00049","41.7040189","12.7924128","+39 069631836","+39 0696142504",,
"Roma","Roma","Biblioteca comunale Rispoli","Pubblica","Comune di Roma - Istituzione Biblioteche di Roma","OBR","Sistema delle Biblioteche – Centri culturali di Roma capitale","Piazza Grazioli 4",,"00186","41.89704","12.48055",,"+39 0645460562","rispoli@bibliotechediroma.it","http://www.bibliotu.it/i_libri_di_biblioteche_di_roma/rispoli"
"Roma","Roma","Biblioteca comunale Enzo Tortora","Pubblica","Comune di Roma - Istituzione Biblioteche di Roma","OBR","Sistema delle Biblioteche – Centri culturali di Roma capitale","Via N. Zabaglia 27 b",,"00153","41.8771973","12.4761267",,"+39 0645510051","enzotortora@bibliotechediroma.it","http://www.comune.roma.it/wps/portal/pcr?jppagecode=biblioteca_enzo_tortora.wp"
"Roma","Roma","Biblioteca comunale Villa Leopardi","Pubblica","Comune di Roma - Istituzione Biblioteche di Roma","OBR","Sistema delle Biblioteche – Centri culturali di Roma capitale","Via Makallé 4",,"00199","41.9272884","12.5214827","+39 0645460621","+39 068601066","villaleopardi@bibliotechediroma.it","http://www.bibliotu.it/i_libri_di_biblioteche_di_roma/villa_leopardi"
"Roma","Roma","Biblioteca comunale Flaminia","Pubblica","Comune di Roma - Istituzione Biblioteche di Roma","OBR","Sistema delle Biblioteche – Centri culturali di Roma capitale","Via Fracassini 9",,"00196","41.9235684","12.4709662","+39 0645460441","+39 063227434","biblioteca.flaminia@bibliotechediroma.it","http://tinyurl.com/6entab"
"Roma","Roma","Biblioteca comunale Villa Mercede - Sezione ragazzi","Pubblica","Comune di Roma - Istituzione Biblioteche di Roma","OBR","Sistema delle Biblioteche – Centri culturali di Roma capitale","Via dei Sardi 35",,"00185","41.8979345","12.5156557","+39 0645460631","+39 064464160","biblioteca.sardi@bibliotechediroma.it","http://tinyurl.com/5dozmb"
"Roma","Roma","Biblioteca comunale Ennio Flaiano","Pubblica","Comune di Roma - Istituzione Biblioteche di Roma","OBR","Sistema delle Biblioteche – Centri culturali di Roma capitale","Via Monte Ruggero 39",,"00139","41.9478447","12.5305432","+39 0645460431","+39 0687180928","biblioteca.flaiano@bibliotechediroma.it","http://tinyurl.com/5ghsvs"
"Roma","Roma","Biblioteca comunale Vaccheria Nardi","Pubblica","Comune di Roma - Istituzione Biblioteche di Roma","OBR","Sistema delle Biblioteche – Centri culturali di Roma capitale","Via di Grotta di Gregna 27 (in corso di variazione numero civico sarà 33, 35, 37)",,"00155","41.9123551","12.5635904","+39 0645460491","+39 0693370084","vaccherianardi@bibliotechediroma.it","http://www.comune.roma.it/wps/portal/pcr?jppagecode=biblioteca_vaccheria_nardi.wp"
"Roma","Roma","Biblioteca comunale Goffredo Mameli","Pubblica","Comune di Roma - Istituzione Biblioteche di Roma","OBR","Sistema delle Biblioteche – Centri culturali di Roma capitale","Via del Pigneto, 22",,"00176","41.8873694","12.5294369",,"+39 0645460542","goffredomameli@bibliotechediroma.it","http://www.comune.roma.it/wps/portal/pcr?jppagecode=biblioteca_pigneto.wp"
"Roma","Roma","Biblioteca comunale Penazzato","Pubblica","Comune di Roma - Istituzione Biblioteche di Roma","OBR","Sistema delle Biblioteche – Centri culturali di Roma capitale","Via Dino Penazzato 112",,"00177","41.8985747","12.5660636",,"+39 98951709","penazzato@bibliotechediroma.it","http://www.comune.roma.it/wps/portal/pcr?jp_pagecode=biblioteca_penazzato.wp&ahew=jp_pagecode"
"Roma","Roma","Biblioteca del Centro documentazione studi sul femminismo","Specializzata","Centro documentazione studi sul femminismo",,,"Via dei Sardi 35",,"00185","41.8979345","12.5156557","+39 06490643",,,
"Roma","Roma","Biblioteca comunale Rugantino","Pubblica","Comune di Roma - Istituzione Biblioteche di Roma","OBR","Sistema delle Biblioteche – Centri culturali di Roma capitale","Via Rugantino 113",,"00169","41.8635164","12.5810549","+39 0645460591","+39 062674938","rugantino@bibliotechediroma.it","http://www.bibliotu.it/i_libri_di_biblioteche_di_roma/rugantino"
"Roma","Roma","Biblioteca comunale Nelson Mandela","Pubblica","Comune di Roma - Istituzione Biblioteche di Roma","OBR","Sistema delle Biblioteche – Centri culturali di Roma capitale","Via La Spezia 21",,"00182","41.8857899","12.5118765","+39 0645460343",,"nelsonmandela@bibliotechediroma.it","http://www.bibliotu.it/i_libri_di_biblioteche_di_roma/appia"
"Roma","Roma","BiblioCaffé Letterario","Pubblica","Comune di Roma - Istituzione Biblioteche di Roma","OBR",,"Via Ostiense 95",,"00154","41.871104","12.4801043","+39 0645460711",,"caffeletterario@bibliotechediroma.it","http://www.bibliotu.it/i_libri_di_biblioteche_di_roma/bibliocaffe_letterario"
"Roma","Roma","Biblioteca comunale Pier Paolo Pasolini","Pubblica","Comune di Roma - Istituzione Biblioteche di Roma","OBR","Sistema delle Biblioteche – Centri culturali di Roma capitale","Viale Caduti per la Resistenza, 410/a",,"00128","41.7853958","12.4397363","+39 0645460521","+39 065083275","biblioteca.pasolini@bibliotechediroma.it","http://tinyurl.com/69fukd"
"Roma","Roma","Biblioteca comunale Elsa Morante","Pubblica","Comune di Roma - Istituzione Biblioteche di Roma","OBR","Sistema delle Biblioteche – Centri culturali di Roma capitale","Via Adolfo Cozza 7","Ostia Lido","00121","41.73259","12.2718608","+39 0645460481","+39 065611815","biblioteca.elsamorante@bibliotechediroma.it","http://tinyurl.com/68mks9"
"Roma","Roma","Biblioteca comunale Franco Basaglia","Pubblica","Comune di Roma - Istituzione Biblioteche di Roma",,,"Via Federico Borromeo 67",,"00168","41.9191315","12.4153068","+39 0645460371","+39 0698012115","borromeo@bibliotechediroma.it","http://www.comune.roma.it/wps/portal/pcr?jppagecode=biblioteca_franco_basaglia.wp"
"Fiumicino","Roma","Biblioteca comunale","Pubblica","Comune di Fiumicino","OBR",,"Largo G. Falcone 2",,"00054","41.7872434","12.2433477","+39 065029479","+39 06584198",,
"Roma","Roma","Biblioteca comunale Guglielmo Marconi","Pubblica","Comune di Roma - Istituzione Biblioteche di Roma","OBR","Sistema delle Biblioteche – Centri culturali di Roma capitale","Via Gerolamo Cardano 135",,"00146","41.86245","12.4648852","+39 0645460301","+39 0645460312","guglielmomarconi@bibliotechediroma.it","http://www.comune.roma.it/wps/portal/pcr?jppagecode=biblioteca_guglielmo_marconi.wp"
"Roma","Roma","Biblioteca comunale Colli Portuensi","Pubblica","Comune di Roma - Istituzione Biblioteche di Roma","OBR","Sistema delle Biblioteche – Centri culturali di Roma capitale","Viale dei Colli Portuensi 275",,"00151","41.8676896","12.4439244","+39 0645460401","+39 0653270804","colliportuensi@bibliotechediroma.it","http://www.bibliotu.it/i_libri_di_biblioteche_di_roma/colli_portuensi"
"Roma","Roma","Biblioteca comunale Longhena","Pubblica","Comune di Roma - Istituzione Biblioteche di Roma","OBR","Sistema delle Biblioteche – Centri culturali di Roma capitale","Via Baldassarre Longhena 98",,"00163","41.8688216","12.4100578","+39 0645460471","+39 0645446635","biblioteca.longhena@bibliotechediroma.it","http://tinyurl.com/5rg643"
"Roma","Roma","Biblioteca comunale Giordano Bruno","Pubblica","Comune di Roma - Istituzione Biblioteche di Roma","OBR","Sistema delle Biblioteche – Centri culturali di Roma capitale","Via Giordano Bruno 47",,"00195","41.9112208","12.4525093","+39 0645460461","+39 0639737541","biblioteca.giordanobruno@bibliotechediroma.it","http://tinyurl.com/65lxfe"
"Roma","Roma","Biblioteca comunale Galline bianche","Pubblica","Comune di Roma - Istituzione Biblioteche di Roma","OBR","Sistema delle Biblioteche – Centri culturali di Roma capitale","Via delle Galline bianche 105",,"00188","41.9964767","12.4863592","+39 0645460451","+39 0698012114","gallinebianche@bibliotechediroma.it","http://www.comune.roma.it/wps/portal/pcr?jppagecode=biblioteca_galline_bianche.wp"
"Roma","Roma","Biblioteca dell'Istituto Nazionale Tumori Regina Elena","Specializzata","Istituti fisioterapici ospitalieri. Istituto Regina Elena per la cura e lo studio dei tumori",,,"via Elio Chianesi, 53","Roma","00144","41.8023297","12.4497728",,"+39 06 52665639","biblioire@ifo.it","http://www.ifo.it/AspOne.aspx?990016961"
"Roma","Roma","Biblioteca del British council information centre","Specializzata","The British council",,,"Via Quattro Fontane 20",,"00184","41.9018747","12.4909143","+39 06478141","+39 064814296","info.rome@britcoun.it","http://www.britcoun.it"
"Roma","Roma","Biblioteca Guillaume Apollinaire del Centro di Studi italo-francesi. Università degli studi Roma Tre","Istituto di insegnamento superiore","Università degli studi di Roma Tre. Centro di studi italo-francesi",,,"Piazza Campitelli 3",,"00186","41.8930711","12.4796855","+39 0657334401/02","+39 0657334403","biblioteca.apollinaire@uniroma3.it","http://host.uniroma3.it:80/biblioteche/biblioteca_guillaume_apollinaire.php"
"Roma","Roma","Biblioteca del Centro di cultura ebraica","Specializzata","Comunità ebraica di Roma. Centro di cultura ebraica",,,"Via Arco dei Tolomei 1",,"00186","41.8886407","12.4761947","+39 065897589","+39 065897589","culturaebraicaroma@tiscalinet.it",
"Roma","Roma","Biblioteca del Centro studi zingari","Specializzata","Centro studi zingari",,,"Via dei Barbieri 22",,"00186","41.8951775","12.4757943","+39 066833181","+39 064112810",,
"Roma","Roma","Biblioteca del Centro sviluppo materiali","Specializzata","Centro sviluppo materiali S.p.A.",,,"Via di Castel Romano 100",,"00129","41.71045","12.4458926","+39 065055241","+39 065055757","biblio.csm@c-s-m.it",
"Roma","Roma","Biblioteca del Circolo scandinavo per artisti e scienziati","Specializzata","Circolo scandinavo per artisti e scienziati",,,"Via G. Garibaldi 83",,"00153","41.8917035","12.4672596","+39 065817456","+39 065882133","skand.for@libero.it",
"Roma","Roma","Biblioteca del Pontificio Collegio irlandese","Specializzata","Pontificio Collegio irlandese",,,"Via dei SS. Quattro 1",,"00184","41.731659","12.274129","+39 067315697",,,
